complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0082,12140848,latino,male,5300 HIGHWAY PATROL,Departmental Violation,Sustained Finding,Training/Counseling
16-0083,85896531,latino,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0083,41871225,black,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0083,10858194,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0083,64477998,black,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0083,83142396,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0084,NA,NA,NA,NA,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0085,66882287,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0085,53971635,asian,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0086,28327142,black,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0086,64288141,black,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0086,23233606,black,male,1800 18TH DISTRICT,Physical Abuse,Sustained Finding,No Guilty Findings
16-0086,23233606,black,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
16-0087,15393487,black,female,2200 22ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0087,15393487,black,female,2200 22ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0087,59604360,black,female,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0088,81329137,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0088,96559793,latino,male,9815 NARCOTICS BUREAU,Verbal Abuse,Sustained Finding,Guilty Finding
16-0088,62936479,black,male,1800 18TH DISTRICT,Criminal Allegation,Sustained Finding,Training/Counseling
16-0088,96559793,latino,male,9815 NARCOTICS BUREAU,Unprofessional Conduct,Sustained Finding,Guilty Finding
16-0089,99537431,white,male,5900 EAST DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
16-0090,51058542,white,male,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0090,27589341,latino,female,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0091,57120763,white,male,2200 22ND DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0091,57120763,white,male,2200 22ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0092,11636506,white,female,9800 INTERNAL AFFAIRS,Verbal Abuse,No Sustained Findings,Not Applicable
16-0093,88548356,black,female,3500 35TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0094,78496553,black,female,1400 14TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
16-0095,96858140,black,male,1800 18TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
16-0096,87591688,white,male,1900 19TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
16-0096,63689557,white,male,1900 19TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0096,63689557,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0096,63689557,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0096,63689557,white,male,1900 19TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
16-0096,87591688,white,male,1900 19TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0096,87591688,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0096,87591688,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0097,81286394,white,male,1700 17TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
20-0317,NA,NA,NA,NA,Physical Abuse,No Sustained Findings,Not Applicable
16-0098,29546625,black,female,0900 09TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0098,29546625,black,female,0900 09TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0099,43477632,white,female,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0100,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
16-0101,71456720,white,male,2400 24TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0102,62882234,white,male,0700 07TH DISTRICT,Unprofessional Conduct,Sustained Finding,Pending
16-0103,26741678,black,male,1800 18TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
16-0104,37637712,black,male,2200 22ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
16-0105,34982454,white,male,0900 09TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0106,88843271,white,male,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0107,62882234,white,male,0700 07TH DISTRICT,Departmental Violation,Sustained Finding,Pending
16-0107,62882234,white,male,0700 07TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0107,62882234,white,male,0700 07TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0155,42946855,white,male,5200 TRAFFIC DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0108,21980821,white,female,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0108,92164918,white,male,6400 NORTHEAST DET,Departmental Violation,No Sustained Findings,Not Applicable
16-0109,21365930,white,male,2600 26TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0109,61658288,white,male,2600 26TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0109,58724595,white,female,2600 26TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0110,81855279,black,male,1600 16TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
16-0111,27881509,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0111,27881509,white,male,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0112,42859308,white,female,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
